Name	 S 	 I 	 R 	 Total 	 Time 
Capetown	777.0	857.0	573.0	2207.0	1

London	2470.0	4071.0	5064.0	11605.0	2
Paris	2554.0	4212.0	5206.0	11972.0	2
Rome	648.0	1065.0	1788.0	3501.0	2
Berlin	755.0	1243.0	2012.0	4010.0	2
Madrid	682.0	1121.0	1778.0	3581.0	2
Warsaw	385.0	633.0	1100.0	2118.0	2
Budapest	380.0	626.0	1345.0	2351.0	2
Sofia	304.0	498.0	1325.0	2127.0	2
Stockholm	221.0	364.0	849.0	1434.0	2
Hong-Kong	1473.0	2429.0	3314.0	7216.0	2
Tokyo	2670.0	4402.0	5469.0	12541.0	2
Peking	4263.0	7031.0	8236.0	19530.0	2
Shanghai	3426.0	5649.0	6836.0	15911.0	2
Singapore	1445.0	2374.0	3195.0	7014.0	2
Manila	477.0	788.0	1554.0	2819.0	2
Bangkok	1708.0	2820.0	3740.0	8268.0	2
Jacarta	1923.0	3170.0	4142.0	9235.0	2
Calcutta	936.0	1538.0	2640.0	5114.0	2
Bombay	2211.0	3648.0	4753.0	10612.0	2
Delhi	3129.0	5160.0	6475.0	14764.0	2
Madras	1646.0	2708.0	3551.0	7905.0	2
Seoul	2066.0	3401.0	4322.0	9789.0	2
Teheran	1698.0	2797.0	4362.0	8857.0	2
Karachi	3701.0	6108.0	7254.0	17063.0	2
Cairo	2655.0	4375.0	5385.0	12415.0	2
Lagos	2493.0	4109.0	5353.0	11955.0	2
Kinshasa	2452.0	4040.0	4701.0	11193.0	2
Johannesburg	959.0	1582.0	2233.0	4774.0	2
Casablanca	728.0	1199.0	1868.0	3795.0	2
Mexico	4265.0	7035.0	8355.0	19655.0	2
Bogota	1422.0	2342.0	3132.0	6896.0	2
Havana	456.0	749.0	1309.0	2514.0	2
Caracas	1043.0	1716.0	2499.0	5258.0	2
Lima	1775.0	2927.0	3900.0	8602.0	2
Santiago	986.0	1625.0	2605.0	5216.0	2
Buenos Aires	2640.0	4352.0	5554.0	12546.0	2
Rio de Janeiro	2526.0	4162.0	5228.0	11916.0	2
Sao Paulo	2375.0	3916.0	5027.0	11318.0	2
Honolulu	729.0	1204.0	2017.0	3950.0	2
Sydney	1021.0	1681.0	2184.0	4886.0	2
Melbourne	948.0	1563.0	1865.0	4376.0	2
Perth	577.0	949.0	1231.0	2757.0	2
Wellington	174.0	285.0	366.0	825.0	2
Montreal	1894.0	3125.0	4055.0	9074.0	2
New York	1614.0	2661.0	3485.0	7760.0	2
Los Angeles	2358.0	3884.0	4805.0	11047.0	2
Washington	1438.0	2368.0	3228.0	7034.0	2
Houston	1299.0	2134.0	2922.0	6355.0	2
Chicago	2051.0	3385.0	4267.0	9703.0	2
San Francisco	1579.0	2597.0	3373.0	7549.0	2
Atlanta	1629.0	2681.0	3501.0	7811.0	2
Capetown	617.0	1017.0	1302.0	2936.0	2

London	1459.0	3192.0	6706.0	11357.0	3
Paris	1510.0	3300.0	6884.0	11694.0	3
Rome	395.0	857.0	2573.0	3825.0	3
Berlin	455.0	991.0	2892.0	4338.0	3
Madrid	411.0	892.0	2530.0	3833.0	3
Warsaw	235.0	510.0	1627.0	2372.0	3
Budapest	231.0	500.0	1982.0	2713.0	3
Sofia	181.0	392.0	2027.0	2600.0	3
Stockholm	137.0	297.0	1338.0	1772.0	3
Hong-Kong	875.0	1908.0	4522.0	7305.0	3
Tokyo	1558.0	3407.0	7173.0	12138.0	3
Peking	2502.0	5468.0	10680.0	18650.0	3
Shanghai	2017.0	4408.0	8950.0	15375.0	3
Singapore	907.0	1975.0	4532.0	7414.0	3
Manila	309.0	671.0	2365.0	3345.0	3
Bangkok	1015.0	2217.0	5060.0	8292.0	3
Jacarta	1122.0	2455.0	5529.0	9106.0	3
Calcutta	556.0	1209.0	3724.0	5489.0	3
Bombay	1250.0	2732.0	6167.0	10149.0	3
Delhi	1788.0	3911.0	8329.0	14028.0	3
Madras	1020.0	2228.0	5004.0	8252.0	3
Seoul	1214.0	2653.0	5756.0	9623.0	3
Teheran	982.0	2141.0	5901.0	9024.0	3
Karachi	2079.0	4547.0	9171.0	15797.0	3
Cairo	1482.0	3237.0	6803.0	11522.0	3
Lagos	1474.0	3220.0	7151.0	11845.0	3
Kinshasa	1445.0	3152.0	6183.0	10780.0	3
Johannesburg	576.0	1254.0	3101.0	4931.0	3
Casablanca	438.0	955.0	2657.0	4050.0	3
Mexico	2507.0	5487.0	10846.0	18840.0	3
Bogota	845.0	1847.0	4249.0	6941.0	3
Havana	273.0	596.0	1904.0	2773.0	3
Caracas	627.0	1361.0	3481.0	5469.0	3
Lima	1041.0	2271.0	5203.0	8515.0	3
Santiago	580.0	1263.0	3612.0	5455.0	3
Buenos Aires	1504.0	3281.0	7152.0	11937.0	3
Rio de Janeiro	1479.0	3229.0	6888.0	11596.0	3
Sao Paulo	1387.0	3036.0	6606.0	11029.0	3
Honolulu	518.0	1134.0	3161.0	4813.0	3
Sydney	611.0	1331.0	2956.0	4898.0	3
Melbourne	568.0	1240.0	2502.0	4310.0	3
Perth	367.0	801.0	1773.0	2941.0	3
Wellington	129.0	276.0	614.0	1019.0	3
Montreal	1140.0	2496.0	5486.0	9122.0	3
New York	964.0	2104.0	4718.0	7786.0	3
Los Angeles	1306.0	2866.0	6094.0	10266.0	3
Washington	880.0	1926.0	4503.0	7309.0	3
Houston	764.0	1669.0	3973.0	6406.0	3
Chicago	1214.0	2652.0	5714.0	9580.0	3
San Francisco	921.0	2008.0	4532.0	7461.0	3
Atlanta	996.0	2173.0	4872.0	8041.0	3
Capetown	450.0	981.0	2137.0	3568.0	3

London	864.0	2345.0	7879.0	11088.0	4
Paris	892.0	2425.0	8073.0	11390.0	4
Rome	241.0	648.0	3275.0	4164.0	4
Berlin	274.0	743.0	3667.0	4684.0	4
Madrid	246.0	667.0	3198.0	4111.0	4
Warsaw	142.0	382.0	2133.0	2657.0	4
Budapest	139.0	374.0	2585.0	3098.0	4
Sofia	108.0	293.0	2712.0	3113.0	4
Stockholm	83.0	229.0	1834.0	2146.0	4
Hong-Kong	520.0	1408.0	5479.0	7407.0	4
Tokyo	911.0	2473.0	8362.0	11746.0	4
Peking	1468.0	3991.0	12276.0	17735.0	4
Shanghai	1187.0	3226.0	10399.0	14812.0	4
Singapore	565.0	1531.0	5654.0	7750.0	4
Manila	201.0	533.0	3148.0	3882.0	4
Bangkok	605.0	1639.0	6089.0	8333.0	4
Jacarta	660.0	1783.0	6565.0	9008.0	4
Calcutta	331.0	893.0	4655.0	5879.0	4
Bombay	708.0	1926.0	7144.0	9778.0	4
Delhi	1025.0	2781.0	9529.0	13335.0	4
Madras	627.0	1700.0	6198.0	8525.0	4
Seoul	717.0	1940.0	6813.0	9470.0	4
Teheran	569.0	1538.0	7086.0	9193.0	4
Karachi	1171.0	3179.0	10322.0	14672.0	4
Cairo	828.0	2248.0	7677.0	10753.0	4
Lagos	873.0	2365.0	8473.0	11711.0	4
Kinshasa	851.0	2309.0	7241.0	10401.0	4
Johannesburg	346.0	932.0	3823.0	5101.0	4
Casablanca	264.0	712.0	3356.0	4332.0	4
Mexico	1475.0	4013.0	12484.0	17972.0	4
Bogota	503.0	1365.0	5131.0	6999.0	4
Havana	164.0	447.0	2460.0	3071.0	4
Caracas	377.0	1013.0	4304.0	5694.0	4
Lima	611.0	1654.0	6174.0	8439.0	4
Santiago	341.0	921.0	4451.0	5713.0	4
Buenos Aires	858.0	2324.0	8210.0	11392.0	4
Rio de Janeiro	863.0	2349.0	8062.0	11274.0	4
Sao Paulo	810.0	2207.0	7718.0	10735.0	4
Honolulu	356.0	956.0	4242.0	5554.0	4
Sydney	367.0	992.0	3556.0	4915.0	4
Melbourne	340.0	921.0	2984.0	4245.0	4
Perth	233.0	626.0	2242.0	3101.0	4
Wellington	92.0	241.0	878.0	1211.0	4
Montreal	670.0	1824.0	6486.0	8980.0	4
New York	574.0	1553.0	5669.0	7796.0	4
Los Angeles	741.0	2009.0	6994.0	9744.0	4
Washington	532.0	1457.0	5538.0	7527.0	4
Houston	452.0	1226.0	4807.0	6485.0	4
Chicago	718.0	1945.0	6775.0	9438.0	4
San Francisco	541.0	1463.0	5454.0	7458.0	4
Atlanta	598.0	1627.0	5930.0	8155.0	4
Capetown	313.0	844.0	2959.0	4116.0	4

London	512.0	1655.0	8645.0	10812.0	5
Paris	528.0	1711.0	8843.0	11082.0	5
Rome	148.0	470.0	3889.0	4507.0	5
Berlin	165.0	534.0	4325.0	5024.0	5
Madrid	148.0	480.0	3769.0	4397.0	5
Warsaw	86.0	276.0	2599.0	2961.0	5
Budapest	84.0	268.0	3136.0	3488.0	5
Sofia	66.0	207.0	3352.0	3625.0	5
Stockholm	52.0	167.0	2312.0	2531.0	5
Hong-Kong	310.0	998.0	6212.0	7520.0	5
Tokyo	534.0	1724.0	9113.0	11371.0	5
Peking	862.0	2795.0	13176.0	16833.0	5
Shanghai	700.0	2265.0	11283.0	14248.0	5
Singapore	352.0	1131.0	6546.0	8029.0	5
Manila	127.0	407.0	3866.0	4400.0	5
Bangkok	360.0	1160.0	6849.0	8369.0	5
Jacarta	387.0	1249.0	7296.0	8932.0	5
Calcutta	198.0	632.0	5424.0	6254.0	5
Bombay	405.0	1306.0	7780.0	9491.0	5
Delhi	590.0	1900.0	10211.0	12701.0	5
Madras	382.0	1233.0	7118.0	8733.0	5
Seoul	422.0	1363.0	7543.0	9328.0	5
Teheran	330.0	1061.0	7946.0	9337.0	5
Karachi	660.0	2139.0	10894.0	13693.0	5
Cairo	466.0	1500.0	8142.0	10108.0	5
Lagos	518.0	1668.0	9374.0	11560.0	5
Kinshasa	503.0	1622.0	7942.0	10067.0	5
Johannesburg	208.0	666.0	4402.0	5276.0	5
Casablanca	161.0	511.0	3959.0	4631.0	5
Mexico	869.0	2817.0	13414.0	17100.0	5
Bogota	299.0	968.0	5791.0	7058.0	5
Havana	100.0	321.0	2966.0	3387.0	5
Caracas	227.0	723.0	4967.0	5917.0	5
Lima	358.0	1158.0	6862.0	8378.0	5
Santiago	202.0	647.0	5125.0	5974.0	5
Buenos Aires	491.0	1583.0	8838.0	10912.0	5
Rio de Janeiro	506.0	1642.0	8823.0	10971.0	5
Sao Paulo	474.0	1541.0	8437.0	10452.0	5
Honolulu	240.0	755.0	5184.0	6179.0	5
Sydney	222.0	708.0	4007.0	4937.0	5
Melbourne	205.0	657.0	3335.0	4197.0	5
Perth	146.0	467.0	2627.0	3240.0	5
Wellington	62.0	195.0	1135.0	1392.0	5
Montreal	392.0	1264.0	7132.0	8788.0	5
New York	346.0	1101.0	6360.0	7807.0	5
Los Angeles	422.0	1372.0	7588.0	9382.0	5
Washington	323.0	1048.0	6326.0	7697.0	5
Houston	269.0	863.0	5445.0	6577.0	5
Chicago	423.0	1368.0	7510.0	9301.0	5
San Francisco	319.0	1027.0	6151.0	7497.0	5
Atlanta	359.0	1161.0	6697.0	8217.0	5
Capetown	210.0	673.0	3705.0	4588.0	5

London	304.0	1136.0	9105.0	10545.0	6
Paris	315.0	1173.0	9289.0	10777.0	6
Rome	91.0	331.0	4404.0	4826.0	6
Berlin	100.0	374.0	4868.0	5342.0	6
Madrid	91.0	333.0	4254.0	4678.0	6
Warsaw	53.0	192.0	3025.0	3270.0	6
Budapest	52.0	186.0	3629.0	3867.0	6
Sofia	41.0	144.0	3928.0	4113.0	6
Stockholm	33.0	118.0	2759.0	2910.0	6
Hong-Kong	185.0	688.0	6755.0	7628.0	6
Tokyo	311.0	1171.0	9537.0	11019.0	6
Peking	508.0	1904.0	13566.0	15978.0	6
Shanghai	412.0	1548.0	11739.0	13699.0	6
Singapore	219.0	809.0	7221.0	8249.0	6
Manila	82.0	297.0	4506.0	4885.0	6
Bangkok	217.0	800.0	7390.0	8407.0	6
Jacarta	229.0	849.0	7793.0	8871.0	6
Calcutta	119.0	435.0	6044.0	6598.0	6
Bombay	234.0	862.0	8179.0	9275.0	6
Delhi	339.0	1264.0	10530.0	12133.0	6
Madras	232.0	864.0	7798.0	8894.0	6
Seoul	250.0	932.0	8022.0	9204.0	6
Teheran	193.0	712.0	8538.0	9443.0	6
Karachi	373.0	1402.0	11082.0	12857.0	6
Cairo	262.0	976.0	8343.0	9581.0	6
Lagos	308.0	1145.0	9944.0	11397.0	6
Kinshasa	299.0	1111.0	8385.0	9795.0	6
Johannesburg	127.0	461.0	4863.0	5451.0	6
Casablanca	98.0	357.0	4473.0	4928.0	6
Mexico	513.0	1925.0	13810.0	16248.0	6
Bogota	180.0	668.0	6276.0	7124.0	6
Havana	60.0	223.0	3425.0	3708.0	6
Caracas	137.0	504.0	5493.0	6134.0	6
Lima	211.0	789.0	7324.0	8324.0	6
Santiago	120.0	442.0	5654.0	6216.0	6
Buenos Aires	282.0	1050.0	9167.0	10499.0	6
Rio de Janeiro	298.0	1116.0	9269.0	10683.0	6
Sao Paulo	278.0	1043.0	8861.0	10182.0	6
Honolulu	155.0	569.0	5960.0	6684.0	6
Sydney	133.0	493.0	4337.0	4963.0	6
Melbourne	125.0	459.0	3581.0	4165.0	6
Perth	93.0	335.0	2935.0	3363.0	6
Wellington	42.0	152.0	1380.0	1574.0	6
Montreal	229.0	849.0	7529.0	8607.0	6
New York	206.0	753.0	6835.0	7794.0	6
Los Angeles	244.0	915.0	7969.0	9128.0	6
Washington	195.0	731.0	6903.0	7829.0	6
Houston	164.0	591.0	5923.0	6678.0	6
Chicago	248.0	939.0	7994.0	9181.0	6
San Francisco	195.0	711.0	6664.0	7570.0	6
Atlanta	214.0	802.0	7233.0	8249.0	6
Capetown	138.0	511.0	4346.0	4995.0	6

London	181.0	765.0	9343.0	10289.0	7
Paris	188.0	789.0	9516.0	10493.0	7
Rome	56.0	228.0	4832.0	5116.0	7
Berlin	61.0	255.0	5316.0	5632.0	7
Madrid	55.0	227.0	4664.0	4946.0	7
Warsaw	33.0	131.0	3410.0	3574.0	7
Budapest	33.0	127.0	4068.0	4228.0	7
Sofia	26.0	98.0	4437.0	4561.0	7
Stockholm	21.0	82.0	3169.0	3272.0	7
Hong-Kong	111.0	464.0	7154.0	7729.0	7
Tokyo	184.0	779.0	9741.0	10704.0	7
Peking	301.0	1274.0	13609.0	15184.0	7
Shanghai	242.0	1039.0	11902.0	13183.0	7
Singapore	135.0	565.0	7714.0	8414.0	7
Manila	51.0	214.0	5062.0	5327.0	7
Bangkok	129.0	540.0	7770.0	8439.0	7
Jacarta	137.0	568.0	8122.0	8827.0	7
Calcutta	73.0	294.0	6540.0	6907.0	7
Bombay	135.0	562.0	8420.0	9117.0	7
Delhi	197.0	822.0	10612.0	11631.0	7
Madras	142.0	590.0	8280.0	9012.0	7
Seoul	147.0	623.0	8316.0	9086.0	7
Teheran	113.0	469.0	8924.0	9506.0	7
Karachi	214.0	900.0	11035.0	12149.0	7
Cairo	149.0	622.0	8385.0	9156.0	7
Lagos	184.0	770.0	10273.0	11227.0	7
Kinshasa	180.0	748.0	8646.0	9574.0	7
Johannesburg	78.0	312.0	5230.0	5620.0	7
Casablanca	59.0	243.0	4909.0	5211.0	7
Mexico	304.0	1288.0	13847.0	15439.0	7
Bogota	109.0	454.0	6629.0	7192.0	7
Havana	37.0	151.0	3836.0	4024.0	7
Caracas	83.0	345.0	5907.0	6335.0	7
Lima	125.0	527.0	7627.0	8279.0	7
Santiago	72.0	297.0	6064.0	6433.0	7
Buenos Aires	165.0	684.0	9302.0	10151.0	7
Rio de Janeiro	178.0	743.0	9501.0	10422.0	7
Sao Paulo	165.0	693.0	9085.0	9943.0	7
Honolulu	100.0	417.0	6577.0	7094.0	7
Sydney	81.0	335.0	4575.0	4991.0	7
Melbourne	75.0	312.0	3756.0	4143.0	7
Perth	60.0	237.0	3177.0	3474.0	7
Wellington	28.0	112.0	1609.0	1749.0	7
Montreal	134.0	563.0	7750.0	8447.0	7
New York	119.0	504.0	7165.0	7788.0	7
Los Angeles	144.0	603.0	8194.0	8941.0	7
Washington	120.0	496.0	7311.0	7927.0	7
Houston	100.0	401.0	6285.0	6786.0	7
Chicago	147.0	628.0	8298.0	9073.0	7
San Francisco	115.0	481.0	7048.0	7644.0	7
Atlanta	133.0	539.0	7586.0	8258.0	7
Capetown	90.0	373.0	4888.0	5351.0	7

London	108.0	507.0	9438.0	10053.0	8
Paris	113.0	524.0	9590.0	10227.0	8
Rome	35.0	157.0	5200.0	5392.0	8
Berlin	37.0	172.0	5683.0	5892.0	8
Madrid	34.0	154.0	5010.0	5198.0	8
Warsaw	21.0	87.0	3760.0	3868.0	8
Budapest	21.0	86.0	4458.0	4565.0	8
Sofia	17.0	66.0	4882.0	4965.0	8
Stockholm	15.0	56.0	3541.0	3612.0	8
Hong-Kong	66.0	311.0	7447.0	7824.0	8
Tokyo	108.0	511.0	9795.0	10414.0	8
Peking	179.0	837.0	13436.0	14452.0	8
Shanghai	145.0	685.0	11870.0	12700.0	8
Singapore	83.0	388.0	8066.0	8537.0	8
Manila	32.0	150.0	5544.0	5726.0	8
Bangkok	80.0	360.0	8027.0	8467.0	8
Jacarta	82.0	376.0	8332.0	8790.0	8
Calcutta	45.0	196.0	6937.0	7178.0	8
Bombay	79.0	361.0	8559.0	8999.0	8
Delhi	115.0	530.0	10553.0	11198.0	8
Madras	87.0	396.0	8614.0	9097.0	8
Seoul	89.0	410.0	8482.0	8981.0	8
Teheran	67.0	305.0	9159.0	9531.0	8
Karachi	123.0	571.0	10859.0	11553.0	8
Cairo	87.0	394.0	8341.0	8822.0	8
Lagos	110.0	510.0	10435.0	11055.0	8
Kinshasa	109.0	496.0	8789.0	9394.0	8
Johannesburg	48.0	211.0	5522.0	5781.0	8
Casablanca	37.0	164.0	5278.0	5479.0	8
Mexico	181.0	851.0	13660.0	14692.0	8
Bogota	66.0	303.0	6884.0	7253.0	8
Havana	24.0	102.0	4203.0	4329.0	8
Caracas	51.0	233.0	6238.0	6522.0	8
Lima	75.0	347.0	7815.0	8237.0	8
Santiago	44.0	196.0	6388.0	6628.0	8
Buenos Aires	97.0	440.0	9312.0	9849.0	8
Rio de Janeiro	107.0	488.0	9584.0	10179.0	8
Sao Paulo	97.0	452.0	9170.0	9719.0	8
Honolulu	64.0	296.0	7056.0	7416.0	8
Sydney	49.0	227.0	4752.0	5028.0	8
Melbourne	46.0	210.0	3881.0	4137.0	8
Perth	37.0	165.0	3368.0	3570.0	8
Wellington	18.0	82.0	1819.0	1919.0	8
Montreal	80.0	364.0	7872.0	8316.0	8
New York	76.0	338.0	7392.0	7806.0	8
Los Angeles	85.0	395.0	8323.0	8803.0	8
Washington	74.0	334.0	7592.0	8000.0	8
Houston	58.0	267.0	6557.0	6882.0	8
Chicago	88.0	417.0	8472.0	8977.0	8
San Francisco	69.0	318.0	7328.0	7715.0	8
Atlanta	78.0	359.0	7821.0	8258.0	8
Capetown	58.0	266.0	5337.0	5661.0	8

London	66.0	331.0	9441.0	9838.0	9
Paris	68.0	345.0	9572.0	9985.0	9
Rome	23.0	106.0	5513.0	5642.0	9
Berlin	24.0	113.0	5985.0	6122.0	9
Madrid	22.0	102.0	5308.0	5432.0	9
Warsaw	15.0	57.0	4078.0	4150.0	9
Budapest	15.0	57.0	4804.0	4876.0	9
Sofia	12.0	45.0	5271.0	5328.0	9
Stockholm	10.0	39.0	3881.0	3930.0	9
Hong-Kong	41.0	203.0	7664.0	7908.0	9
Tokyo	66.0	331.0	9759.0	10156.0	9
Peking	108.0	545.0	13137.0	13790.0	9
Shanghai	88.0	445.0	11723.0	12256.0	9
Singapore	52.0	261.0	8306.0	8619.0	9
Manila	21.0	104.0	5954.0	6079.0	9
Bangkok	49.0	239.0	8197.0	8485.0	9
Jacarta	50.0	245.0	8466.0	8761.0	9
Calcutta	28.0	130.0	7252.0	7410.0	9
Bombay	47.0	231.0	8631.0	8909.0	9
Delhi	68.0	336.0	10416.0	10820.0	9
Madras	54.0	261.0	8839.0	9154.0	9
Seoul	54.0	267.0	8572.0	8893.0	9
Teheran	40.0	198.0	9288.0	9526.0	9
Karachi	71.0	360.0	10621.0	11052.0	9
Cairo	51.0	245.0	8262.0	8558.0	9
Lagos	66.0	335.0	10482.0	10883.0	9
Kinshasa	66.0	325.0	8858.0	9249.0	9
Johannesburg	30.0	140.0	5758.0	5928.0	9
Casablanca	24.0	110.0	5595.0	5729.0	9
Mexico	108.0	556.0	13337.0	14001.0	9
Bogota	41.0	200.0	7073.0	7314.0	9
Havana	16.0	67.0	4537.0	4620.0	9
Caracas	32.0	154.0	6499.0	6685.0	9
Lima	46.0	227.0	7931.0	8204.0	9
Santiago	26.0	128.0	6635.0	6789.0	9
Buenos Aires	58.0	280.0	9252.0	9590.0	9
Rio de Janeiro	65.0	320.0	9580.0	9965.0	9
Sao Paulo	59.0	292.0	9176.0	9527.0	9
Honolulu	41.0	205.0	7420.0	7666.0	9
Sydney	31.0	151.0	4885.0	5067.0	9
Melbourne	29.0	139.0	3976.0	4144.0	9
Perth	25.0	113.0	3519.0	3657.0	9
Wellington	13.0	58.0	2016.0	2087.0	9
Montreal	48.0	233.0	7930.0	8211.0	9
New York	47.0	221.0	7540.0	7808.0	9
Los Angeles	51.0	253.0	8387.0	8691.0	9
Washington	45.0	221.0	7785.0	8051.0	9
Houston	35.0	179.0	6761.0	6975.0	9
Chicago	56.0	273.0	8564.0	8893.0	9
San Francisco	43.0	209.0	7529.0	7781.0	9
Atlanta	49.0	233.0	7973.0	8255.0	9
Capetown	38.0	186.0	5711.0	5935.0	9

London	41.0	215.0	9378.0	9634.0	10
Paris	42.0	225.0	9490.0	9757.0	10
Rome	16.0	70.0	5779.0	5865.0	10
Berlin	16.0	75.0	6238.0	6329.0	10
Madrid	15.0	68.0	5572.0	5655.0	10
Warsaw	10.0	40.0	4366.0	4416.0	10
Budapest	10.0	40.0	5112.0	5162.0	10
Sofia	9.0	31.0	5607.0	5647.0	10
Stockholm	9.0	26.0	4186.0	4221.0	10
Hong-Kong	26.0	132.0	7827.0	7985.0	10
Tokyo	41.0	212.0	9672.0	9925.0	10
Peking	66.0	354.0	12776.0	13196.0	10
Shanghai	54.0	288.0	11510.0	11852.0	10
Singapore	34.0	174.0	8468.0	8676.0	10
Manila	15.0	69.0	6304.0	6388.0	10
Bangkok	31.0	157.0	8311.0	8499.0	10
Jacarta	31.0	159.0	8547.0	8737.0	10
